rowid,product_id,customer_id,price,quantity,timestamp,total_sales
104,8972,58516,4277,5,2017-11-22 03:53:23,21385
105,7905,59794,542,2,2017-11-22 03:53:24,1084
106,6295,86874,2706,2,2017-11-22 03:53:25,5412
107,6665,56517,4821,1,2017-11-22 03:53:26,4821
108,8851,23457,4612,3,2017-11-22 03:53:27,13836
109,6713,26624,1705,1,2017-11-22 03:53:28,1705
110,6860,8700,867,5,2017-11-22 03:53:29,4335
111,6808,57569,4543,2,2017-11-22 03:53:30,9086
112,8230,15972,3992,5,2017-11-22 03:53:31,19960
113,6963,81525,3314,1,2017-11-22 03:53:32,3314
114,8458,20992,4500,3,2017-11-22 03:53:33,13500
116,8254,35706,3109,5,2017-11-22 03:53:35,15545
117,8682,8237,2348,4,2017-11-22 03:53:36,9392
118,5988,63757,1060,1,2017-11-22 03:53:37,1060
119,7200,51795,4159,5,2017-11-22 03:53:38,20795
120,7719,23610,1636,2,2017-11-22 03:53:39,3272
121,7488,79598,3500,1,2017-11-22 03:53:40,3500
122,8851,85200,4612,4,2017-11-22 03:53:41,18448
123,8399,71466,2521,2,2017-11-22 03:53:42,5042
124,7414,36555,2368,4,2017-11-22 03:53:43,9472
125,7235,9599,2940,1,2017-11-22 03:53:44,2940
126,8867,43886,1358,3,2017-11-22 03:53:45,4074
127,6664,68648,3995,4,2017-11-22 03:53:46,15980
128,7232,18330,3797,1,2017-11-22 03:53:47,3797
129,8587,83612,4444,5,2017-11-22 03:53:48,22220
130,6675,62980,2210,4,2017-11-22 03:53:49,8840
131,6345,43720,4844,4,2017-11-22 03:53:50,19376
132,7696,10298,2753,3,2017-11-22 03:53:51,8259
133,8961,46592,3819,4,2017-11-22 03:53:52,15276
134,8317,59324,4412,5,2017-11-22 03:53:53,22060
135,6578,54176,1177,4,2017-11-22 03:53:54,4708
136,6862,88765,2248,1,2017-11-22 03:53:55,2248
137,7671,20918,253,5,2017-11-22 03:53:56,1265
138,6461,29666,1719,3,2017-11-22 03:53:57,5157
139,8268,47354,1509,5,2017-11-22 03:53:58,7545
140,7349,17061,3104,5,2017-11-22 03:53:59,15520
141,8575,89346,2990,5,2017-11-22 03:54:00,14950
142,5712,4188,3491,1,2017-11-22 03:54:01,3491
143,6648,5344,2262,1,2017-11-22 03:54:02,2262
144,8099,31630,4913,1,2017-11-22 03:54:03,4913
145,6458,13199,1619,4,2017-11-22 03:54:04,6476
146,7656,55488,4914,2,2017-11-22 03:54:05,9828
147,7208,84435,1424,3,2017-11-22 03:54:06,4272
148,7500,32778,2510,5,2017-11-22 03:54:07,12550
149,8463,69405,4534,5,2017-11-22 03:54:08,22670
151,5932,2141,4604,5,2017-11-22 03:54:10,23020
152,8066,33197,400,3,2017-11-22 03:54:11,1200
153,7472,49459,4840,5,2017-11-22 03:54:12,24200
155,7523,64466,4101,2,2017-11-22 03:54:14,8202
156,7956,70470,4240,2,2017-11-22 03:54:15,8480
158,8660,71715,4416,4,2017-11-22 03:54:17,17664
159,7968,89501,913,5,2017-11-22 03:54:18,4565
160,8164,64544,383,4,2017-11-22 03:54:19,1532
162,8537,37288,1618,5,2017-11-22 03:54:21,8090
163,6343,54735,4999,1,2017-11-22 03:54:22,4999
164,6821,50030,4364,5,2017-11-22 03:54:23,21820
166,8467,25397,4768,3,2017-11-22 03:54:25,14304
167,7588,49676,4280,2,2017-11-22 03:54:26,8560
168,7051,77831,1149,4,2017-11-22 03:54:27,4596
169,7852,76253,3612,4,2017-11-22 03:54:28,14448
170,7113,50338,379,3,2017-11-22 03:54:29,1137
171,8899,9942,1823,2,2017-11-22 03:54:30,3646
172,7009,51159,1270,4,2017-11-22 03:54:31,5080
173,8628,1372,1896,5,2017-11-22 03:54:32,9480
174,8766,15369,1661,3,2017-11-22 03:54:33,4983
176,7712,16601,4859,1,2017-11-22 03:54:35,4859
177,7598,12634,2283,2,2017-11-22 03:54:36,4566
178,8136,61097,2242,1,2017-11-22 03:54:37,2242
179,6312,31940,4729,3,2017-11-22 03:54:38,14187
180,8002,41742,2593,2,2017-11-22 03:54:39,5186
183,7591,32913,1021,2,2017-11-22 03:54:42,2042
184,6969,80845,4436,2,2017-11-22 03:54:43,8872
186,6436,40583,3024,5,2017-11-22 03:54:45,15120
187,6948,16968,4924,2,2017-11-22 03:54:46,9848
188,6722,88608,3003,4,2017-11-22 03:54:47,12012
189,7030,57923,4790,5,2017-11-22 03:54:48,23950
190,6531,39558,3060,5,2017-11-22 03:54:49,15300
192,6568,666,3932,1,2017-11-22 03:54:51,3932
193,6020,11797,3937,3,2017-11-22 03:54:52,11811
194,6978,79414,2452,2,2017-11-22 03:54:53,4904
195,8587,19145,4444,5,2017-11-22 03:54:54,22220
197,7393,84270,3708,5,2017-11-22 03:54:56,18540
198,8665,17942,1945,5,2017-11-22 03:54:57,9725
199,6524,58211,1240,2,2017-11-22 03:54:58,2480
200,8099,33518,4913,3,2017-11-22 03:54:59,14739
201,8414,59396,2706,2,2017-11-22 03:55:00,5412
202,6046,24709,1978,4,2017-11-22 03:55:01,7912
203,8004,75614,4178,4,2017-11-22 03:55:02,16712
204,6902,85459,255,5,2017-11-22 03:55:03,1275
205,8003,7962,2909,3,2017-11-22 03:55:04,8727
206,6008,74157,927,5,2017-11-22 03:55:05,4635
207,8419,10251,3084,3,2017-11-22 03:55:06,9252
208,7581,70067,2249,3,2017-11-22 03:55:07,6747
209,7097,5617,2433,2,2017-11-22 03:55:08,4866
210,6029,22970,4323,1,2017-11-22 03:55:09,4323
211,6963,36959,3314,4,2017-11-22 03:55:10,13256
212,8646,72691,1439,3,2017-11-22 03:55:11,4317
213,5765,44348,2056,5,2017-11-22 03:55:12,10280
214,6693,43551,3204,4,2017-11-22 03:55:13,12816
215,7452,22007,4605,5,2017-11-22 03:55:14,23025
216,7269,36555,4304,4,2017-11-22 03:55:15,17216
217,7080,3990,2762,2,2017-11-22 03:55:16,5524
218,7384,84132,3953,3,2017-11-22 03:55:17,11859
219,6161,10443,4505,3,2017-11-22 03:55:18,13515
221,5964,1176,918,5,2017-11-22 03:55:20,4590
222,8532,55139,2239,5,2017-11-22 03:55:21,11195
223,8458,70551,4500,3,2017-11-22 03:55:22,13500
224,6314,2594,4596,1,2017-11-22 03:55:23,4596
226,8529,54770,4193,4,2017-11-22 03:55:25,16772
227,8188,6049,2587,1,2017-11-22 03:55:26,2587
228,6158,982,2319,4,2017-11-22 03:55:27,9276
229,7117,50670,568,5,2017-11-22 03:55:28,2840
230,8841,67191,1212,4,2017-11-22 03:55:29,4848
231,8016,50690,1535,2,2017-11-22 03:55:30,3070
232,7820,41455,1807,1,2017-11-22 03:55:31,1807
234,5840,75225,1814,2,2017-11-22 03:55:33,3628
235,8968,3617,3766,3,2017-11-22 03:55:34,11298
237,7464,13248,991,4,2017-11-22 03:55:36,3964
238,7556,3443,2083,1,2017-11-22 03:55:37,2083
239,5859,42712,4324,3,2017-11-22 03:55:38,12972
240,8790,49464,643,2,2017-11-22 03:55:39,1286
241,7249,32581,1221,5,2017-11-22 03:55:40,6105
242,8786,60566,4186,4,2017-11-22 03:55:41,16744
243,7323,79862,1657,1,2017-11-22 03:55:42,1657
244,6732,30302,4447,5,2017-11-22 03:55:43,22235
245,7851,28570,1687,1,2017-11-22 03:55:44,1687
246,6758,75182,2827,3,2017-11-22 03:55:45,8481
